subdomain,listing_url,status,total_jobs,error
citi.avature.net,https://citi.avature.net/careers/SearchJobs,error,,Server error 500
condenast.avature.net,https://condenast.avature.net/careers/SearchJobs,error,,Server error 500
condenastuk.avature.net,https://condenastuk.avature.net/careers/SearchJobs,error,,Server error 500
cox.avature.net,https://cox.avature.net/careers/SearchJobs,error,,Server error 500
cs-tc.avature.net,https://cs-tc.avature.net/careers/SearchJobs,error,,Server error 500
davemendoza.avature.net,https://davemendoza.avature.net/careers/SearchJobs,error,,Server error 500
emc.avature.net,https://emc.avature.net/careers/SearchJobs,error,,Server error 500
epicgames.avature.net,https://epicgames.avature.net/careers/SearchJobs,error,,Server error 500
executiverpo.avature.net,https://executiverpo.avature.net/careers/SearchJobs,error,,Server error 500
flite.avature.net,https://flite.avature.net/careers/SearchJobs,error,,Server error 500
futurestep.avature.net,https://futurestep.avature.net/careers/SearchJobs,error,,Server error 500
gartner2.avature.net,https://gartner2.avature.net/careers/SearchJobs,error,,Server error 500
gilead.avature.net,https://gilead.avature.net/careers/SearchJobs,error,,Server error 500
gmibm.avature.net,https://gmibm.avature.net/careers/SearchJobs,error,,Server error 500
gpshospitality.avature.net,https://gpshospitality.avature.net/careers/SearchJobs,error,,fetch failed
gsk.avature.net,https://gsk.avature.net/careers/SearchJobs,error,,Server error 500
heinekenusamgs.avature.net,https://heinekenusamgs.avature.net/careers/SearchJobs,error,,Server error 500
hubinternational.avature.net,https://hubinternational.avature.net/careers/SearchJobs,error,,Server error 500
iatsapp-tc30.avature.net,https://iatsapp-tc30.avature.net/careers/SearchJobs,error,,Server error 500
infineon.avature.net,https://infineon.avature.net/careers/SearchJobs,error,,Server error 500
iv.avature.net,https://iv.avature.net/careers/SearchJobs,error,,Server error 500
kpmgng.avature.net,https://kpmgng.avature.net/careers/SearchJobs,error,,Server error 500
libertymutual.avature.net,https://libertymutual.avature.net/careers/SearchJobs,error,,Server error 500
